ar_en_DEEP	MatCoop
The officer in charge of the crime scene, Major General Naji Malaeb of the Internal Security Forces, arrived at the scene at 5 p.m. on 14 February 2005. On 3 March 2005, he issued a report on the examination conducted by the Lebanese authorities of the crime scene [General Directorate of the Internal Security Forces, Beirut Police Unit, Signal No.: 95] and it stated the following:	1
47. The Government has made several efforts to prevent and control diseases and pests.	1
The trucks were carrying government armed forces and were later used to transport looted property from the village.	1
221 - States of the subregion cooperate well with regional and international partners to reduce the threat of terrorism and their vulnerabilities to it. It exchanges intelligence on threats and warnings, exchanges operational information, and conducts joint exercises and maneuvers within bilateral and multilateral contexts.	1
In this regard, we express our full readiness, in consultation with the United Nations, to contribute to strengthening the United Nations Integrated Mission, in particular by establishing a rapid intervention force from among the troop-contributing countries with robust rules of engagement and means, in accordance with the model of the intervention brigade of the United Nations Stabilization Mission in the Democratic Republic of the Congo, and deploying it in northern Mali in order to contribute to the fight against armed terrorist and criminal groups and facilitate the successful completion of efforts to stabilize that part of the country.	1
3. The Executive Director will, as requested by the Security Council in its resolution 1787 (2007), within 60 days of the adoption of that resolution and in consultation with the Committee, recommend changes to the organizational plan of the Executive Directorate referred to in paragraph 4 of Security Council resolution 1535 (2004).	0
He stresses that any attempt to destabilize Lebanon should not prevent the holding of free and fair presidential elections, without delay, in accordance with the rules of the Lebanese Constitution, without any foreign interference or influence and in full respect for democratic institutions.	0
The humanitarian situation in Somalia remains a major concern.	0
The Security Council recalls its call on all parties to any armed conflict to comply fully with the obligations applicable to them under international law relating to the protection of civilians in armed conflict, including journalists, media personnel and associated individuals.	0
As mentioned above, the Sudanese judicial system has proven unable to ensure accountability for crimes committed in Darfur, and the authorities have proven unwilling to do so.	0
In addition, Article 75 (3) stipulates that before issuing any order for reparation, the court may call for the submission of statements of case from the convicted person, the victims, other persons concerned, the States concerned, or their representatives, and the court shall make such statements In mind.	1
9 - Requests the Secretary-General to make the necessary arrangements to support the work of the monitoring mechanism at the expense of the Organization and by establishing a United Nations trust fund to be established for this purpose, confirms that this trust fund will be established by the Secretary-General, and encourages States to make voluntary contributions to the fund and contribute to the monitoring mechanism, Through the Secretary-General, personnel, equipment and services, and further requests the Secretary-General to keep the Committee established pursuant to resolution 1267 (1999) informed, on a regular basis, of the financial arrangements supporting these mechanisms;	0
(c) Continue to work with international and regional organizations and States to enhance access to, and increase access to, national and international criminal and counter-terrorism databases at the border control points through which entry and exit operations take place.	1
This decision is the second most important change in the processing of contracts for humanitarian supplies under the program since the adoption of Resolution 1284 (1999), which increased the amount of oil that Iraq can sell under the program, and created new urgent procedures for some humanitarian goods.	1
(b) The lack of effective measures to prevent rape of Ethiopian women and girls;	0
Furthermore, there is concern that active arms-for-drug trafficking in Afghanistan could lead to the financing of terrorism in neighboring countries of Central Asia through the activities of cash couriers.	0
But the serious danger remains that as a result of that decision - which violates the documents issued by the Bonn and Berlin conferences - the country will face an explosive situation fraught with new armed resistance and internal divisions in the power structures.	0
(a) Review criminal laws in order to ensure that offenses are properly criminalized in each of the identified categories, and enact legislative provisions to combat terrorism, as appropriate;	0
(b) Facilitating the establishment of the necessary regional mechanisms for international cooperation in criminal proceedings.	1
1-1 Please inform the Counter-Terrorism Committee about the enactment of the new criminal law, especially the provisions criminalizing the recruitment of persons for the purpose of committing terrorist acts.	1
Now top priority must be given to meeting the challenge of establishing local and regional administrations in areas retaken from Al-Shabaab.	0
67. In conclusion, I would like to thank my Special Representative, Amira Haq, for her leadership, and to all the staff of the Mission and the United Nations country team for their continued efforts in support of the people of Timor-Leste in their quest to advance issues of peace, stability and development. .	1
The Council intends to continue to vigorously fight impunity by appropriate means and draws attention to the full range of justice and reconciliation mechanisms that should be taken into account, which include national, international and 'hybrid' criminal tribunals and truth and reconciliation commissions.	1
211. All States of the subregion have established and operational financial intelligence units, although some are still working to improve their capabilities.	1
50. Recalls its decision that when a State requesting listing submits a request for delisting, the requirement for States to take the measures set out in paragraph 1 of this resolution with respect to the individual, group, undertaking or entity concerned shall expire after sixty days, unless the Committee decides by consensus before the expiry of that sixty-day period that those measures shall remain in effect with respect to the individual, group, undertaking or entity; provided that, in the absence of consensus, the Chair shall, upon the request of a member of the Committee, bring the question of whether to delist the individual, group, undertaking or entity to the attention of the Security Council for a decision within a period of sixty days; and further, if such a request is made, the requirement for States to take the measures set out in paragraph 1 of this resolution shall remain in effect with respect to the individual, group, undertaking or entity during that period until the Security Council has taken a decision on the matter;	1
72. In the meantime, significant progress is being made in training the Congolese National Police, which will provide security during the elections.	1
The Committee received 11 notifications from Member States supplying military equipment to the Congolese authorities, and sent a similar number of declarations.	1
19 - With regard to the travel ban, the Council decided, in paragraph 10 of its resolution 1807 (2008), to exclude travel undertaken for humanitarian reasons, including for the performance of a religious duty, and travel that serves the goals of peace, national reconciliation and stability in the region, in addition to cases of Transit of individuals returning to the territory of States of their nationality or participating in efforts to bring to justice perpetrators of serious violations of human rights or international humanitarian law.	1
During the current conflict, government soldiers committed massacres of people in Monoko-Zohi, and there have been recent reports of mass graves in Man and Dandani for which government forces are responsible.	0
Establish support networks for victims of gender-based violence.	1
:: June 2, 2005, journalist Samir Kassir was killed when his car exploded in East Beirut.	0
In this regard, the continued mainstreaming of child protection into the advocacy activities of these organizations and arrangements and in their policies, programs and mission planning processes, the training of staff and the involvement of child protection personnel in their peacekeeping and field operations, and the establishment of child protection mechanisms within their secretariats, including through the appointment of Focal points for child protection affairs.	0
In a region that is complex and vital for the maintenance of international peace and security, the authorities face great difficulties and constraints when responding to the demands and aspirations of a people eager for reform.	0
It is necessary that the Committee's work is not limited to helping countries develop their legislation related to combating terrorism, but rather extends to include monitoring the implementation of that legislation according to the requirements of the reality of the situation.	1
The recent developments witnessed by several countries in the regional region were accompanied by changes in security structures.	1
âHowever, the Security Council strongly condemns the continued recruitment and use of children in armed conflicts in violation of applicable international law, the killing and mutilation of children, rape and other forms of sexual violence, kidnapping and denial of childrenâs access to humanitarian assistance, and attacks on schools and hospitals by parties to armed conflicts.	0
44. The Committee welcomes the Executive Directorateâs continued close cooperation with the experts of the Security Council Committee established pursuant to resolution 1540 (2004) and its Committee arising from resolutions 1267 (1999) and 1989 (2011), including through the regular exchange of information, the exchange of mission reports, and the preparation of documents and statements A joint report submitted by committee chairs to the Council.	1
Such assistance should aim to establish a tripartite national authority that could assume responsibility for monitoring the implementation of any rules and regulations agreed upon and established for the well-being of more than a million people gathered in the Gulf, and for the economic development of the three coastal States with a view to facilitating international maritime trade.	1
Several delegations called on the Government of Mali to investigate human rights violations, expressing concern about the release of perpetrators of serious crimes against human rights.	0
23 - Although the security situation in the north of the country was relatively calm, a member of the Moroccan unit of the operation was brutally assassinated on 31 August in BouakÃ©.	0
On 28 and 29 March, during the third trilateral meeting between Angola, the Democratic Republic of the Congo and the United Nations High Commissioner for Refugees held in Luanda, it was agreed to establish a working group to discuss the return of some 800,000 Angolan refugees from the Democratic Republic of the Congo.	1
President Al-Bashir intended his pledge of 19 June 2004 to disarm the Janjaweed to apply only to bandits, and not to the PDF, the People's Police or other tribesmen armed by the State to fight the insurgents.	1
On 18 November, the Council held a briefing and consultations on the reports of the Secretary-General on the activities of the United Nations Assistance Mission in Iraq (S/2014/774) and on the search for missing Kuwaitis, third-country nationals and missing Kuwaiti property, including the National Archives ( S/2014/776).	0
Its assessment is contained in reports issued twice a month, a practice that has contributed to raising awareness of human rights problems.	1
This strategy also aims to expand the donor community by engaging countries where particularly effective counter-terrorism approaches or systems have been developed.	1
20. Decides that the Office of the Ombudsman shall provide assistance to the Committee, when it considers requests for de-listing, and that this Office shall be established for an initial period of 18 months from the date of this decision, and requests the Secretary-General, in close cooperation with the Committee, Appointing a prominent person with high morals, impartiality and integrity, and with high qualifications and experience in relevant fields, such as law, human rights, counter-terrorism and sanctions, to serve as Ombudsman, and assigned the mandate stipulated in Annex II to this resolution. It is also decided that the Ombudsman shall perform the aforementioned duties in a manner Independent and impartial, and to refrain from seeking or receiving instructions from any government;	1
Non-conventional Threats: Chemical, Biological, Radiological, Nuclear and Explosives, Asia	0
By committing itself to interacting with and sharing information with other members of the expanded membership as part of its core responsibilities, the Council can hope to improve the long-standing attitudes towards it held by the general membership.	1
13. The fact-finding mission examining allegations of the use of toxic chemicals as weapons in the Syrian Arab Republic continues its work.	1
It reiterates its call on all parties to the conflict to completely and immediately cease all acts of sexual violence, and also reiterates its call on these parties to undertake specific and time-bound commitments to combat sexual violence, including, among other things, issuing clear orders through their chain of command prohibiting sexual violence, holding accountable for violations of these orders, and stipulating To prohibit sexual violence in codes of conduct, military field operations manuals or similar, and to undertake specific commitments to investigate alleged assaults in a timely manner and to fulfill those commitments; Further calls upon all relevant parties to armed conflicts to cooperate within the framework of these commitments with staff of United Nations missions concerned with monitoring their implementation, and calls upon the parties to appoint, as appropriate, a high-level representative responsible for ensuring the implementation of these commitments;	0
Incorporate gender analysis into post-conflict needs assessment and related training. Pilot projects in the field of gender-sensitive post-conflict needs assessment.	1
Likewise, listed groups are keen to have the ability to use force in support of their objectives, and in areas where their activity is at its peak, they do not appear to suffer from any shortage of weapons or explosives.	0
On the one hand, humanitarian access has improved significantly as restrictions on the delivery of humanitarian assistance have been gradually lifted since last summer.	1
60 - Supporting the restoration of minimal state authority in a sustainable manner and extending it to areas liberated from armed groups requires strengthening the governmentâs commitment to deploying the stateâs administrative apparatus, including police, judicial and prison personnel, and the necessary resources.	1
One speaker stressed that the consistency of actions taken by committees and working groups, especially those dealing with counter-terrorism, should be maintained, as well as reaffirmed in Security Council resolutions.	0
Although the President acted within his constitutional powers, I discussed with him concerns regarding the possibility that the pardons issued on 25 December 2009 might reinforce the perception of impunity.	0
16. Reviewing States then had three months to provide any additional identifying or other information bearing on the elements of the List, such as updated information on the operational status of listed entities, or on the movement, detention or death of listed individuals Their names on the list, or new charges against them related to terrorist operations.	1
15. Al-Qaida in Iraq (QE.J.115.04) recently replaced its name with the Islamic State in Iraq and the Levant, in order to legitimize its operations in the Syrian Arab Republic and break away from the name Al-Qaida.	0
The European Union also expressed its support for the statement issued by my Special Representative on 8 September in which he stressed that resorting to a military solution to the problems facing the transitional federal institutions is not at all on the table.	0
(c) Encouraging the establishment of procedures to ensure that political asylum seekers and refugees do not commit terrorist acts.	0
Efforts to combat violent extremism, taking a broad, âwhole-of-societyâ approach, are vital in reducing recruitment and addressing the needs of returning foreign terrorist fighters (to ensure that they are not radicalized to commit acts of violence in their home countries or in other countries).	1
In North Darfur, which has the smallest population among the three Darfur states, the population affected by the conflict is estimated at 200,685 people, including 403,000 displaced persons.	0
During the ensuing closed consultations, Council members stressed the importance of making additional efforts to advance security sector reform and establish democratic and effective national institutions.	0
Training of peacekeeping personnel Requests the Secretary-General to ensure that United Nations personnel involved in peacemaking, peacekeeping and peacebuilding activities are provided with appropriate training in international humanitarian law, international human rights law and international refugee law, including provisions relating to children and gender, and negotiation skills communication, cultural awareness and civil-military coordination and urges States and relevant international and regional organizations to ensure that appropriate training is included in their programs for personnel involved in similar activities.	1
Commending the efforts of the United Nations-African Union Hybrid Operation in Darfur, the Joint Chief African Union-United Nations Mediator, the Secretary-General of the United Nations, the League of Arab States, the African Union High-Level Implementation Team on Sudan, and leaders of the region, and reiterating its full support for those efforts to To promote peace and stability in Darfur, and expressing its strong support for the ongoing political process within the framework of the mediation efforts led by the African Union and the United Nations,	0
Letter dated 14 October 2005 addressed to the Secretary-General from the Secretary-General and the High Representative for the Common Foreign and Security Policy of the European Union pursuant to the provisions of Security Council resolution 1575 (2004), enclosing herewith the third of the quarterly reports on the activities of the European Union Military Mission In Bosnia and Herzegovina.	1
The team also actively participates in the Global Counter-Terrorism Forum.	0
âThe Security Council notes that the arrest warrants issued by the International Criminal Court for Joseph Kony, Okot Odhiambo and Dominic Ongwen, on charges including, inter alia, war crimes and crimes against humanity, including murder, rape and child recruitment through kidnapping, and calls on all countries to cooperate with the Ugandan authorities and the International Criminal Court to implement these orders and bring those responsible for committing these atrocities to justice.	0
54 - Following the withdrawal of the Syrian Arab Republic from Lebanon, the time has also come to immediately begin the process of redefining the relationship between these two neighboring countries, which share close historical ties.	1
106 - UNOCI also agreed, on 21 February 2005, to allow the Air Force of CÃ´te d'Ivoire to conduct two ground tests of engines and systems; This is for one hour on the last Wednesday of every month, for its Mi-24P (TU-VHO) aircraft, provided that it is not armed, and is outside its hangar at the Abidjan Air Base, and under the supervision of the United Nations Operation in CÃ´te dâIvoire.	0
The committee's forensic experts were able to verify that some members of the military forces were buried in the trenches surrounding the military camp, while civilians were all buried in multiple graves in the town's cemeteries.	0
Council members welcomed the government's efforts to combat the Lord's Resistance Army, as well as the African Union's initiative for regional cooperation to eliminate the Lord's Resistance Army, and the appointment of a special envoy of the African Union to coordinate the initiative.	0
In accordance with paragraph 32 of this resolution, the Monitoring Group works under the guidance of the Committee established pursuant to resolution 1267 (1999) and has the following responsibilities:	1
The line of this card received a phone call one minute after the bombing, at 12:57 a.m., from a public telephone booth in Tripoli located near a building where Syrian intelligence was located. On 30 January, a call was made from the same phone booth in Tripoli to the landline of Mr. Abu Adass's home.	0
Since the militias affiliated with these two groups maintain close links in the region, I expect the Government of the Syrian Arab Republic to engage constructively in this process.	1
The Committee makes a set of recommendations to take immediate steps to put an end to human rights violations and address the human rights concerns raised by the Committee, including specific recommendations addressed to the Security Council, which require the Councilâs attention and consideration.	1
We condemn all acts and crimes committed in Kosovo with ethnic motives.	0
Five countries have established in their legislation sufficient jurisdiction to prosecute relevant crimes under their legislation.	1
4 - Calls upon all States to act forcefully and resolutely to halt the flows of funds, financial assets and other economic resources to individuals or entities associated with Al-Qaeda, Osama bin Laden and/or the Taliban by implementing, as appropriate, internationally agreed rules and standards to combat Financing of terrorism, including rules and standards established to prevent the misuse of non-profit organizations and other alternative/informal money transfer systems;	0
Most countries in the Western Europe, Eastern Europe, Central Asia and Caucasus subregions have enacted comprehensive anti-terrorism legislation.	1
The two press conferences, especially the first press conference, as well as the interrogation of the first suspect, and the arrest of former senior security officials at the suggestion of the Commission, all had a catalytic effect.	0
The United Nations country team is currently engaged in a dialogue to review the action plan, including a review of 168 projects, and to further institutionalize development planning, including also community-based approaches, such as the reconciliation and peaceful coexistence mechanism and conflict reduction programs led by UNDP.	0
The program collects information at the national level on all persons arrested or suspected of involvement in low-level crimes such as forgery of bank/credit cards or travel documents.	1
2 - Instructs the sanctions committees established by the Security Council, including those established pursuant to resolutions 1718 (2006), 1636 (2005), 1591 (2005), 1572 (2004), 1533 (2004), 1521 (2005) and 1518 (2003). 1267 (1999), 1132 (1997), 918 (1994) and 751 (1992) to revise its guidelines accordingly;	0
In crisis zones and post-conflict situations, it is essential that solutions to the excessive proliferation of small arms - alongside basic arms control and control measures - focus on finding alternative and sustainable ways of earning a living, taking into account gender and age factors.	1
This conflict is also a media war (fabrication and misinformation).	0
Therefore, it limited itself to collecting reliable information about people who may be suspected of being responsible for committing crimes in Darfur.	1
1. On 26 July 2005, the Security Council adopted resolution 1612 (2005) on children and armed conflict.	0
4 - Urges the Executive Directorate to continue to strengthen its role in facilitating the provision of technical assistance in the implementation of resolution 1373 (2001) with a view to increasing the capabilities of Member States and regions to combat terrorism by meeting their needs in this area, in close cooperation with the Implementation Task Force, as well as with providers of assistance on a bilateral and multilateral basis, and welcomes the focused and regional approach taken by the Executive Directorate in this work;	1
A number of participants pointed out the role that the Council could play in this area, which could go beyond simply establishing international reparation programs and go so far as to authorize the use of assets frozen under sanctions regimes to redress damages and provide possible support to national reparation programmes. .	0
26 - Hezbollah's leadership has stated, in several public statements over the past six months, that it has increased the party's military capabilities, and will seek to continue doing so in blatant defiance of resolution 1559 (2004).	0
Most people in the region rightly reject a return to the status quo ante, as any truce based on such limited results cannot be expected to last.	0
Participating in the Financial Action Task Force related to money laundering, implementing controls related to anti-corruption, international cooperation in financial investigations, and ratifying international agreements related to combating terrorism are all factors that lead to improving the regulatory control environment in countries.	1
I handed them a list of the names of the three defendants who are the senior military leaders of this group, and I made a note that two of them had been promoted.	1
The Committee has benefited from the report of the Committee of Experts to Review the Trials of Serious Human Rights Violations Committed in Timor-Leste (then East Timor) in 1999 (see S/2005/48). The Prosecutor's interpretation that his constitutional responsibility to the President required him to follow the President's policy regarding prosecutions was noted with concern in that assessment.	1
Hussein Azhari, Jemaah Islamiyah's most famous bomb maker until his death in November 2005, trained, in addition to an unknown number of ordinary students, several other teachers who remain at large and able to transmit their knowledge to cells located throughout Southeast Asia.	1
Indeed, the 1540 Committee appears well placed to enhance cooperation between these entities and explore funding opportunities.	1
The troop strength decreased from 1,435 personnel in January 2006 to 715 personnel as a result of events in the first half of 2006.	0
I therefore call on all stakeholders to ensure that the deadline for completing the voluntary disarmament of FDLR, 2 January 2015, remains binding and non-negotiable.	0
In addition, the Mission will continue to protect United Nations personnel and assets, in accordance with its current mandate, and provided that sufficient aviation assets are made available to address acts of violence that pose a challenge to the protection of civilians during the election period.	1
:: Deepening the study in areas where the initial study of the reports revealed deficiencies in information or implementation related to all aspects of the resolution, including all measures required for each type of weapon, or their means of delivery, and related materials; Including modifying arrays wherever feasible	1
Taking note of the work undertaken by the Global Counter-Terrorism Forum, in particular its issuance of several framework documents and good practices in areas including countering violent extremism, criminal justice, kidnapping for ransom, support to victims of terrorism, and community-oriented policing, as a complement to the work undertaken In those areas, the United Nations counter-terrorism entities, and encouraging the Executive Directorate to continue its interaction with the Global Forum in the context of its work with Member States to promote the full implementation of resolutions 1373 (2001) and 1624 (2005),	0
Demand that States take all necessary measures to prosecute those responsible for attacks on journalists, media professionals and associated personnel that constitute violations of applicable international humanitarian law.	0
For example, the issue of issuing identity documents to residents, which is a sensitive issue, is a long-term process that will continue even after the elections are held; Examples include reintegrating fighters, reforming the security sector, addressing land tenure issues, promoting sound economic management, protecting human rights, working to heal the wounds caused by the conflict, and addressing the root causes that caused the crisis.	1
On November 30, 2014, regime warplanes fired a missile at the city of Anadan, killing 11 people, including a child. Daraa	0
Furthermore, the Committee received an arms embargo notification invoking paragraph 13 (a) of resolution 2009 (2011) on a matter that did not require notification to the Committee because it concerned non-lethal items to be supplied to the Government of Libya.	0
They attacked the local office of National Security and the Intelligence Service, setting it on fire, and then began shooting at the office of the Sudanese Telecommunications Authority.	0
6 - Affirms that the requirements of Paragraph 1 (a) above apply to financial and economic resources in all their forms, including, but not limited to, resources used to provide Internet publishing services or related services used to support the Taliban movement and other Individuals, groups, institutions and entities associated with them, as well as all other individuals, groups, institutions and entities who participate with the Taliban movement in posing a threat to peace, stability and security in Afghanistan, and all other individuals, groups, institutions and entities associated with them;	0
While the nature of the consultations will ultimately be determined by the stakeholders themselves, it is envisaged that these consultations will entail holding conferences at the local district and state levels across Darfur, concluding with a Darfur-wide conference.	1
I therefore call on donors to ensure continued assistance to demobilized ex-combatants, and that reintegration activities move forward without disruption.	1
18 - Although this is the first time that the United Nations has initiated a planning effort of this degree of complexity and breadth, covering practically all the major areas of work related to women, peace and security, the system-wide action plan contains extensive information on the activities undertaken by the system United Nations for the benefit of women in conflict areas and post-conflict areas.	1
Therefore, the establishment of hybrid courts that may be able to rely on the national legal system will lead to serious problems, especially with regard to the Sudanese Criminal Procedure Code of 1991.	1
2 - Recalls in this regard the need to consider journalists, media personnel and individuals associated with them, working on dangerous professional missions in areas of armed conflict, as civilians who must be respected and protected as such, provided that they do not carry out any action that would prejudice their status as civilians. This is without prejudice to the right of war correspondents accredited to the armed forces to be treated as prisoners of war in accordance with Article 4-A-4 of the Third Geneva Convention.	1
32 - The Committee encourages the Executive Directorate to intensify its dialogue with Member States and regional organizations, on several occasions, including Committee visits, regarding the development of comprehensive and integrated strategies to combat terrorism, and to improve and adjust existing structures and implementation mechanisms available to enhance the capabilities of States and organizations to formulate strategies that enable the maximum achievement of Leverage country visits to advise governments on developing these strategies and continue to work closely within the Office and the working groups of the Counter-Terrorism Implementation Task Force.	0
22. Although joint operations against the Alliance of Patriots for a Free and Sovereign Congo and the Ndoma Defense of the Congo continue in North Kivu, MONUSCO continues to play a role in the LRA-affected areas of Orientale Province.	0
The Mission continued to provide technical assistance in reviewing prisoner files in order to draw the attention of judicial authorities to cases of prolonged pre-trial detention, with the aim of reducing overcrowding in prisons.	1
40. UNODC completed the construction of a new wing for 40 female inmates at the prison in Bosaso, Puntland. Construction of another wing for 200 inmates is still underway. A new gatehouse and armory were also built.	1
The mission travelled to Daloa by land with a military escort from government forces.	1
38. As at 20 September, 778 officers completed their training at the Police Academy. Of these, 35 were women and 148 were former military personnel.	0
âThe Council stresses the importance of national ownership, constructive dialogue and partnership between national authorities and the international community in order to help meet priority peacebuilding needs and address the underlying causes of recurring instability.	1
66. In an effort to combat the increasing rates of crimes committed at sea, the Maritime Organization of West and Central Africa, with the assistance of the International Maritime Organization, is working to strengthen cooperation among law enforcement agencies by establishing a network of coast guard units.	1
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which contains an account of the activities undertaken by the Committee during the period from 1 January to 31 December 2014.	0
58. In the absence of a referral medical facility in Bamako, MINUSMA took immediate action to ensure adequate temporary medical capacity for United Nations staff while a second level United Nations hospital was being established to replace the facilities previously provided by the Pasteur Hospital. .	1
66. The overwhelming majority of cases of abduction and enforced disappearance are linked to the Korean War and the systematic movement of ethnic Koreans from Japan that began in 1959.	0
Excluding other forms of sexual assault from the scope of the investigation has left a large number of allegations unaddressed.	1
Terrorist and other non-State armed groups with access to transnational crime markets may have less incentive to exit a conflict situation and enter into a political settlement.	0
Expressing its full support for the Mission, condemning all attacks against United Nations peacekeeping and humanitarian personnel, regardless of who committed them, and stressing that those responsible for such attacks must be brought to justice,	0
Urging parties to armed conflict to respect the professional independence of journalists, media professionals and individuals associated with them.	0
Reaffirming the Statement of the President of the Council adopted at the Council meeting held at the level of Heads of State and Government on 31 January 1992 (S/23500), including the need for all Member States to fulfill their arms control and disarmament obligations, and to prevent the proliferation of all weapons of mass destruction in all its aspects,	0
50. During the reporting period, MINUSMA air assets were temporarily deployed in Kidal to conduct reconnaissance and surveillance operations related to movements of armed groups, particularly in the Tilemsi Valley (Gao Department).	1
An eighth formed police unit from Nigeria is expected to be deployed in October.	1
Sudan has also ratified ILO Convention No. 182 on the Prohibition and Immediate Action for the Elimination of the Worst Forms of Child Labor, which prohibits the forced or compulsory recruitment of children for use in armed conflict.	1
Women were also abducted and raped in three Janjaweed camps following the attack on Korma, North Darfur, in March 2003.	0
Al-Qaeda in Iraq's goal is to build the capabilities to launch attacks whenever targets become available, whether by its members or in cooperation with existing groups that work with it or, better yet, under its orders.	0
âThe Security Council reaffirms its commitment to the protection of civilians in armed conflict and to continue to fully implement all its previous resolutions in this regard, including resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009), as well as all its resolutions on women, peace and security, children and armed conflict, peacekeeping, and all relevant statements of its President.	0
39. The Group participated, within the framework of the Global Counter-Terrorism Forum, in the workshop on good practices in counter-terrorism initiative held for the justice sector in Abuja, and in the meeting of the Sahel Working Group held in Oran, Algeria, in June 2013, in order to strengthen Sanctions system and risk assessment in the region.	1
We are concerned that the security situation remains problematic.	0
Given the fragility of the situation in the subregion, further steps are needed to criminalize terrorist recruitment.	0
56. Measures are being taken to strengthen the role of the United Nations country team, including the appointment of a new head of the Office of the Resident Coordinator and the identification of requirements for additional staff.	1
106 - All States except one State met the deadline set by the International Civil Aviation Organization for the issuance of machine-readable travel documents.	1
Notes the policy of cooperation pursued by neighboring countries, including [names of concerned countries], in keeping their borders open to refugees... and encourages these countries to continue this policy and contribute to stabilizing the situation whenever possible;	1
It is still unknown whether he can establish links with extremists in Nigeria within the framework of an effective alliance.	0
They urged Member States to contribute to the United Nations Consolidated Appeal for Somalia, and urged all parties and armed groups in Somalia to ensure timely, full, safe and unhindered access to humanitarian assistance.	1
They are the ones who do all these things, and then they ask for protection and guarantees and use them as a mask in order to blackmail and obtain more concessions.	0
It strongly condemns all acts of sexual and other forms of violence against civilians in armed conflict, in particular against women and children, and pledges to ensure that all peace support operations apply all possible measures to prevent such acts of violence and address their impact wherever they occur.	0
Expresses its determination to request, where appropriate, parties to the conflict to make special arrangements to meet the protection and assistance needs of children, women and other vulnerable groups, including by encouraging the holding of âimmunization daysâ and providing other opportunities for the safe and unhindered delivery of key services needed.	0
5 - Significant progress has also been made in establishing municipal assemblies capable of performing their tasks. On November 11, more than 800 members of the new associations took the legal oath.	1
6. Decides, in order to assist the Committee in carrying out its mandate, to establish an 18-month analytical support and sanctions monitoring team, based in New York (referred to below as the âMonitoring Teamâ), which will operate under the guidance of the Committee and be entrusted with the responsibilities set out in the annex to the present resolution;	1
In particular, consideration should be given to advertising vacancies more widely by targeting professional associations and changing the wording of language-related job requirements.	0
Of particular concern is the alleged pattern of serious misconduct by Haitian National Police officers, including their alleged involvement in the summary execution of at least nine individuals on 20 August during a football match in the Martissant district of Port-au-Prince. .	0
Moreover, more research is needed to prove that these programs lead to real positive outcomes regarding the likelihood that these individuals will commit other acts of terrorism in the future or incite others to commit such acts.	1
He stated that the electoral campaign, which has just begun, is governed by the electoral law and electoral regulations issued by the Joint Election Management Authority and monitored by international observers.	1
No country applies adequate measures to protect non-profit organizations from terrorist financing.	0
States of the subregion are increasingly participating in regional projects and programs (which encourage the seeking, gathering and exchange of information and intelligence) as a means of enhancing capacity to address border terrorist threats and organized crime.	1
More should be done to raise awareness among all Member States that United Nations sanctions are supportive, not punitive, measures; To provide assistance to Member States implementing United Nations sanctions; To achieve greater consideration of the rights of individuals, entities and Member States subject to targeted measures.	1
(y) Consult with representatives of relevant international organizations, including the International Air Transport Association, the International Civil Aviation Organization and the World Customs Organization, with a view to promoting awareness of and strengthening compliance with the travel ban and the arms embargo;	0
Furthermore, the Coordination Action Mechanism decided to initiate the development of international standards for the control of small arms that are not different from those developed on mine action and on disarmament, demobilization and reintegration.	1
Schools that refused to register or had links with banned terrorist organizations were closed.	1
47. In addition to the marked increase in arms flows into Somalia, both sides are also very actively distributing weapons and ammunition to their militias, supplying militiamen with individual fighting equipment, securing and storing food, medicine, fuel and other necessities needed for sustained combat, and organizing themselves into structures Military in nature, escalating militia recruitment and training, and developing strategies and plans to inflict military defeat on the other side.	0
The Security Council condemns all violations of international law committed against civilians in situations of armed conflict, including violations of international humanitarian law, international human rights law, and international refugee law.	0
In the JelisiÄ case, the Appeals Chamber noted that âwith regard to evidence of specific intent, it may, in the absence of clear direct evidence, be inferred from a number of facts and circumstances, such as the general context, the preparation for other punishable acts systematically directed against the same group, and the scope of the atrocities.â perpetrators, systematic targeting of victims on the basis of their affiliation to a particular group, or repeated acts of destruction or discriminatory acts.â	0
Document best practices on thematic issues and functional areas; Desk reviews and best practice workshops; Establishing an electronic network to exchange knowledge and data between gender advisors.	1
It is believed that terrorists in the region rely mainly on conventional weapons.	0
236 - The obligations imposed on States with regard to the criminalization of the financing of terrorism are contained in resolution 1373 (2001) and the 1999 International Convention for the Suppression of the Financing of Terrorism.	1
(h) Participate effectively in all activities undertaken within the framework of the implementation of and support to the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force, which was established to ensure overall coordination and coherence in its counter-terrorism efforts The United Nations system, in particular through its relevant working groups;	1
